Feiertage;Art;von;bis;Beschreibung
Tag des Grundgesetzes;säkular;23.05.2018;;Der Tag des Grundgesetzes ist der Gedenktag an die Unterzeichnung des Grundgesetzes am 23. Mai 1949 in Bonn. Das Grundgesetz bildet rechtlich und politisch die Grundordnung in der Bundesrepublik Deutschland. Das Grundgesetz wurde am 3. Oktober 1990 mit dem Vollzug der staatlichen Einheit Deutschlands, zur gesamtdeutschen Verfassung.
Erklärung des Bab;bahai;24.05.2018;;"Im Mai 1844 erklärte der Báb (arab.: das Tor, 1819-1850) in Schiras, Iran, Seine Sendung, dass Er der im schiitischen Islam verheißene
Qá’ím (Gottesbote) sei. Er wies immer auf das baldige Erscheinen eines neuen Gottesboten (Bahá’u’lláh) hin."
Trinitatis / Dreifaltigkeitsfest;christ.evan./kath.;27.05.2018;;"An diesem Fest verehren die Gläubigen den einen Gott, der sich in dreifacher Weise offenbart: Als Vater hat er die Welt erschaffen, als
Sohn die Menschen erlöst und als Geisteskraft die Gläubigen geheiligt. Christen glauben also an einen einzigen Gott, den sie als Vater,
Sohn und Heiligen Geist verehren."
Pfingstsonntag;christ.ortho./Altorient;27.05.2018;;"Am fünfzigsten Tag (griech.: Pentekoste = Pfingsten) nach Ostern endet die österliche Festzeit. Die Apostelgeschichte erzählt, dass an
diesem Tag die Anhänger Jesu in Jerusalem zusammengekommen waren, als der Geist Gottes auf sie ausgegossen wurde: Ein Brausen
kam vom Himmel und die Jünger konnten plötzlich den Menschen, die aus vielen Ländern nach Jerusalem gekommen waren, in ihren
Muttersprachen von der Auferweckung Jesu erzählen (so genanntes Pfingstwunder). 3.000 Menschen ließen sich taufen. So ist Pfingsten
auch das Fest der Entstehung der Kirche, das vielerorts mit ökumenischen Gottesdiensten gefeiert wird."
Pfingstmontag;christ.ortho./Altorient;28.05.2018;;"Am fünfzigsten Tag (griech.: Pentekoste = Pfingsten) nach Ostern endet die österliche Festzeit. Die Apostelgeschichte erzählt, dass an
diesem Tag die Anhänger Jesu in Jerusalem zusammengekommen waren, als der Geist Gottes auf sie ausgegossen wurde: Ein Brausen
kam vom Himmel und die Jünger konnten plötzlich den Menschen, die aus vielen Ländern nach Jerusalem gekommen waren, in ihren
Muttersprachen von der Auferweckung Jesu erzählen (so genanntes Pfingstwunder). 3.000 Menschen ließen sich taufen. So ist Pfingsten
auch das Fest der Entstehung der Kirche, das vielerorts mit ökumenischen Gottesdiensten gefeiert wird."
Saka Dawa (tibetan Buddha Day);buddhistisch;29.05.2018;;In zahlreichen Ländern Asiens ist Saka Dawa ein nationaler Feiertag, an dem gleichzeitig an Geburt, Erleuchteung und Ableben des historischen Buddha erinnert wird. Das Fest beginnt um den Vollmondtag im Mai oder Anfang Juni herum. Obwohl die Bräuche von Land zu Land unterschiedlich sind, spielt das Licht in Vesak stets eine zentrale Rolle. wird traditionell meist um den Vollmondtag im Mai oder Anfang Juni herum begangen. 
Hinscheiden des Bahá'u lláhs;bahai;29.05.2018;;"Bahá’u’lláh (arab.: Herrlichkeit Gottes) verschied im Mai 1892 in Bahjí bei Akka im heutigen Israel nach über 40-jähriger Verfolgung,
Verbannung und Gefangenschaft.  Um diesen Tag zu feiern, treffen sich Baha’i weltweit um 03.00 Uhr morgens, um gemeinsam in einer Andacht mit Gebeten ihrem Religionsstifter zu gedenken."
Fronleichnam;christ.kath.;31.05.2018;;"Seit dem 13. Jahrhundert feiern katholische Christen das „Hochfest des Leibes und Blutes Jesu Christi“. Öffentliche Prozessionen
machen den Glauben an die besondere Gegenwart Christi im Sakrament der Eucharistie für alle Welt sichtbar. Durch den Empfang dieses
Sakraments werden die Christen im übertragenen Sinne selbst zum Leib Christi."
Internationaler Kindertag;säkular;01.06.2018;;"Die Einrichtung eines internationalen Kindertags wurde auf dem Weltkongresses der Internationalen Demokratischen Frauenföderation vorgeschlagen und auf den 1. Juni festgelegt. Der internationale Kindertag etablierte darauf hin in vielen sozialistischen Ländern. Anfänglich und in den offiziellen Schriften sozialistischer Länder war der Kindertag, wie der Internationale Frauentag, ein Kampftag für die glückliche und friedliche Zukunft aller Kinder weltweit. Entsprechend lag der Schwerpunkt auf dem Recht eines jeden Kindes, in Frieden und Wohlstand aufwachsen zu dürfen. Der internationale Kindertag wird traditionell in den Bundsländern Berlin, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Sachen, Thüringen begangen. 
"
6. Deutscher Diversity Tag;säkular;05.06.2018;;Der „Deutsche Diversity-Tag“ ist ein jährlich wiederkehrender, bundesweiter Aktionstag, der Organisationen dazu aufruft, sich für Vielfalt einzusetzen und Bewusstsein in der Gesellschaft für Vielfalt zu schaffen. Er fand erstmals am 11. Juni 2013 statt. Rund 240 Unternehmen und weitere Organisationen beteiligten sich mit 360 Aktionen. (Weitere Informationen: https://www.charta-der-vielfalt.de/diversity-tag/map.html)
Gedenkfest für Abdal Musa;alevitisch;06.06.2018;;Abdal Musa war ein Schüler von Hac? Bektasch Veli, stammte aus dem Ort Khoy im Iran und lebte im 13./14. Jahrhundert. Viele Gemeinden organisieren Cem-Gottesdienste zur Andacht von Abdal Musa.
Sehbehindertentag;säkular;06.06.2018;;Laut Zahlen der Weltgesundheitsorganisation WHO gibt es mehr als eine Million sehbehinderte Menschen in Deutschland. Um auf die Bedürfnisse dieser Menschen aufmerksam zu machen, hat der DBSV im Jahr 1998 einen eigenen Aktionstag eingeführt: den Sehbehindertentag. Er findet jährlich am 6. Juni zu einem bestimmten Thema statt. (Weitere Informationen: http://www.dbsv.org/sehbehindertentag.html)
Lailat al-Qadr / ???? ????? / Kadir Gecesi / Nacht der Bestimmung;islamisch;10.06.2018;11.06.2018;In der Nacht der Vorhersehung begann die Offenbarung des Korans, der Quelle für das Glück der Menschen im Diesseits und Jenseits. Auf den unschätzbaren Wert dieser Nacht weist eine eigene Sure im Koran hin: „Wahrlich, wir sandten ihn (den Koran) in der Nacht der Vorhersehung herab. Woher solltest du aber wissen, was die Nacht der Vorhersehung ist? Die Nacht der Vorhersehung ist wohlbringender als tausend Monate. Die Engel und der Geist (Gabriel) kommen in dieser Nacht mit der Erlaubnis ihres Herrn für allerlei Aufträge herunter. Friede ist in ihr bis zum Anbruch der Morgenröte“ (Koran 97/1-5). Es ist die Nacht vom 10. Auf den 11. Juni 2018.
Fest des Fastenbrechens / Eid al-fitr / ??? ????? / Ramazan Bayram?;islamisch;15.06.2018;17.06.2018;"Mit dem Ende des Monats Ramadan wird drei Tage lang das Ramadanfest gefeiert. An diesen Tagen werden familiäre, soziale und nachbarschaftliche
Beziehungen gepflegt, indem gegenseitige Besuche und Gratulationen zum Fest stattfinden. Kinder bekommen am ersten
Tag schulfrei und erhalten Geschenke."
Welttag gegen die Misshandlung älterer Menschen;säkular;15.06.2018;;"Alle Staaten der Welt verzeichnen von 2015 bis 2030 einen großen Anstieg des Bevölkerungsanteil im Bereich der älteren Mneschen. Insbesondere in Schwellen- und Entwicklungsländern wird dieser Prozess schnell voranschreibten. Gleichzeitig steigt die Zahl der Fälle von Gewalt an älteren Menschen. Dieses Tabuthema erfährt immer mehr Aufmerksamkeit, obwohl es immer noch die am wenigsten untersuchteste Form von Gewalt ist und in nationalen Aktionsplänen gegen Gewalt kaum Beachtung findet. Gewalt gegen ältere Menschen ist ein globales Phänomen und betrifft Gesundheit und Menschenrechte betroffener Menschen. Die Vereinten Nationen haben den 15. Juni zum Welttag gegen die Misshandlung älterer Menschen erklärt. 
"
Weltflüchtlingstag (UNO);säkular;20.06.2018;;"Am Weltflüchtlingstag, der jährlich am 20. Juni stattfindet, soll an die Stärke, den Mut und die Beharrlichkeit von Millionen Flüchtlingen erinnert werden. Bereits seit 1914 gibt es den Welttag des Migranten und Flüchtlings, ein kirchlicher Gedenktag für Flüchtlinge udn Migraten. Jährlich zum Weltflüchtlingstag veröffentlicht der UNHCR (engl. United Nations High Commissioner for Refugees; Hoher Flüchtlingskommissar der Vereinten Nationen) einen Jahresbericht. Diesem zufolge befanden sich Ende 2013 über 51 Millionen Menschen auf der Flucht, darunter mehr als 33 Millionen Männer, Frauen und Kinder im eigenen Land. Die Zahl der Flüchtlinge hatte damit den höchsten Stand seit dem Zweiten Weltkrieg erreicht. Hauptaufnahmeländer für Flüchtlinge sind Pakistan, Iran und Libanon. (Weitere Informationen: http://www.unhcr.org/refugeeday/de/"
Welthumanistentag;säkular;21.06.2018;;Der Feiertag soll auch dazu dienen, an die zentralen Werte, Ideen und Prinzipien einer humanistischen Lebensauffassung zu erinnern: vernunftorientiertes und rationales Denken, Selbstbestimmtheit, Individualität, Solidarität und Mitgefühl sowie die Überzeugung, dass alle Menschen nur ein einziges Leben besitzen. Er dient einer Vielzahl von konfessionsfreier und nichtreligöser Menschen als Möglichkeit, den Errungenschaften in der gemeinsamen Arbeit eine Feier zu widmen. Im Rahmen einer Konferenz der Internationalen Humanistischen und Ethischen Union in Oslo wurde am 21. Juni 1986 dieser Tag schließlich als Welthumanistentag zum offiziellen Feiertag für Menschen ausgerufen, die ihr Leben ohne Orientierung an religiösen Vorstellungen und auf Grundlage einer humanistischen Lebensauffassung führen. (Weitere Informationen: http://www.welthumanistentag.de/)
Midsommar;säkular;24.06.2018;;Als Mittsommerfest werden die Feierlichkeiten zur Sommersonnenwende bezeichnet.
Internationaler Tag zur Unterstützung der Folteropfer;säkular;26.06.2018;;Der Internationale Tag gegen Folter soll auf das Verbrechen der Folter aufmerksam machen und den Opfern weltweit Unterstützung aussprechen. (Weitere Informationen [engl.]: http://www.un.org/en/events/torturevictimsday/)
Schiwa Assar beTammus / ???? ??? ????? (jüdisch);jüdisch;01.07.2018;;"Der Fastentag des 17. Tammus erinnert an den Beginn der Zerstörung des Tempels. An ihm fangen die ""Drei Wochen"" der Trauer über den Tempel und das Exil an. Diese ""Drei Wochen"" enden am Fasttag des  Neunten Aw. Die Fastenzeit beginnt in der Morgendämmerung. Die drei Wochen sind die Periode zwischen dem 17. Tammus und dem 9. Av im jüdischen Kalender. Während dieser Periode schreibt die Halacha - der rechtliche Teil der Überlieferung des Judentums - vor die Haare nicht zu schneiden, keine Hochzeiten zu veranstalten, keine neuen Kleider zu tragen oder zu kaufen, vom 1.–9. Av weder Fleisch noch Wein zu genießen, mit Ausnahme von Schabbat und einer religiösen Feier ( Se’udat Mitzwa) und keine neue Wohnung zu beziehen."
Geburtstag des Dalai Lama;buddhistisch;06.07.2018;;"Der XIV. Dalai Lama hat den Buddhismus im Westen sehr bekannt gemacht. Für seine Bemühungen im Tibet-Konflikt bekam er 1989 den Friedensnobelpreis. Seitdem wird er von vielen Menschen ganz unabhängig von der Religionszugehörigkeit verehrt. Der Dalai Lama ist das weltliche und geistige Oberhaupt der Tibeter. Der XIV., also der jetzige Dalai Lama, heißt Tenzin Gyatso und ist am 6. Juli 1935 geboren. Dalai Lama ist also kein Name, sondern ein Titel. 1578 verlieh der Mongolenfürst Altan Kahn dem damaligen Grosslama Sönam Gyatso diesen Titel als Dank für buddhistische Weihen. Die Bedeutung der Worte ""Dalai Lama"" wird unterschiedlich interpretiert. ""Dalai"" ist ursprünglich ein mongolisches Wort und heißt ""Ozean"". Das tibetische Wort ""Lama"" bedeutet soviel wie Lehrer oder Meister. Daher hört man oft die freie Übersetzung ""Ozean der Weisheit
"
Kölner Christopher Street Day Straßenfest (CSD);säkular;06.07.2018;;Der Christopher Street Day (CSD) ist ein Fest-, Gedenk- und Demonstrationstag von Lesben, Schwulen, Bisexuellen, Transgendern (LGBT+) und Asexuellen. An diesem Tag wird für die Rechte dieser Gruppen sowie gegen Diskriminierung und Ausgrenzung demonstriert und gefeiert. Die größten Demonstrationen anlässlich des CSD im deutschsprachigen Raum finden in Köln und Berlin statt. Der CSD erinnert an den ersten bekanntgewordenen Aufstand von Homosexuellen und anderen sexuellen Minderheiten gegen die Polizeiwillkür in der New Yorker Christopher Street im Stadtviertel Greenwich Village. Die Bezeichnung Christopher Street Day ist nur in Deutschland, Teilen Österreichs und der Schweiz üblich. In anderen Ländern wird meist von Gay Pride oder Pride Parades gesprochen. Das Straßenfest in der Altstadt Kölns bietet die Gelegenheit für Besucherinnen und Besucher zu feiern. In der Regel sind am Heumarkt Bühnen aufgebaut, auf denen sowohl politische Diskussionen als auch musikalische Auftritte geboten werden. (Weitere Informationen: http://www.colognepride.de/de/home/)
Kölner Christopher Street Day Parade (CSD);säkular;07.07.2018;;Mit etwa 85 Wagen, unzähligen Fußgruppen und bis zu 950.000 Zuschauern zählt die Kölner CSD Parade zu den größten Demonstrationszügen von Schwulen, Lesben, Bi-, Inter- und Transsexuellen in Europa. 
Verklärung Christi / Vardavar / ???????? / ;armenisch;08.07.2018;;Am Fest der Verklärung Christi bespritzen die Menschen einander mit Wasser. Der Verklärung Christi durch die Apostel wird hier gedacht.
Märtyrertod des Bab;bahai;10.07.2018;;Der Báb (arab.: das Tor), der Vorläufer Bahá’u’lláhs, wurde im Juli 1850 öffentlich in Täbris, Iran, hingerichtet.
Ratha Yatra;hinduistisch;14.07.2018;;Berühmtes Wagenfest aus Jagannath Puri mit den Geschwister-Gottheiten Jagannath, Baladeva und Subradra.
Choe-Khor Duechen (Tibet);buddhistisch;16.07.2018;;Tag des Rads der Lehre. Gefeiert wird die erste Lehrrede des Buddha. Dritter «grosser Moment» im Vajrayana-Kalender.
Tischa beAV /  ???? ??? (jüdisch);jüdisch;22.07.2018;;"Der erste Tempel in Jerusalem wurde durch die Babylonier, der zweite durch die Römer zerstört. Das Datum war jeweils der 9. Aw (hebr.: Tischa beAw). Daher ist dies der traurigste Tag im jüdischen Festtagskalender, der mit Fasten und speziellen Klagegesängen begangen
wird. Er bildet Höhepunkt und Abschluss der Trauerzeit der drei Wochen."
Tu B'Av / ??? ??? (jüdisch);jüdisch;26.07.2018;27.07.2018;Tu B'Av ist ein kleiner jüdischer Feiertag, der in der Nacht zwischen dem 14. und 15. Tag des Monats Aw beginnt, einer Vollmondnacht. Er gilt Freudentag, da er den Beginn der Weinlese sowie einige historische Ereignisse symbolisiert. Hierzu zählen beispielsweise der Sieg der Pharisäer über die Sadduzäer.
Asalha Puja (Theravada);buddhistisch;27.07.2018;;Asalha Puja ist eines der wichtigsten buddhistischen Feste und wird oft in Form einer Ehrerweisung abgehalten. Es wird begangen an einem Tag des Vollmonds im achten Monat (entspricht circa Juli) des thailändischen Mondkalenders. Das Fest erinnert an die erste Rede des Buddha vor seiner Gefolgschaft nachdem er erleuchtet worden war. In dieser Rede finden sich bereits alle Grundgedanken des Buddhismus. Hier spricht Buddha vom Rad der Lehre und von den vier edlen Wahrheiten (Wahrheit vom Leiden, Wahrheit von der Ursache des Leidens, Wahrheit vom Ende des Leidens, Wahrheit vom Weg zum Ende des Leidens).
Asalha Puja;buddhistisch;27.07.2018;;"Der Fest- und Feiertag Asalha Puja beginnt nach dem Mondkalender am Vollmondtag des achten Monats und findet immer einen Tag vor der drei Monate andauernden buddhistischen Fastenzeit statt. Das ist i.d.R. zwischen Mitte Juli und Ende Juli. Den Feiertag Asalha Puja nennt man in Thailand auch Asalha Bucha oder Asanha Bucha. Asanha Bucha gehört zu den wichtigsten Feiertagen und buddhistischen Festen in Thailand.
Mit diesem heiligen Feiertag gedenken gläubige Buddhisten der ersten Predigt und Lehrrede von Buddha im Wildpark Isipatana bei Benares. Er hielt die Predigt vor fünf Asketen am Dhamma-Tag, nachdem er erleuchtet wurde. Diese erste Predigt enthielt bereits alle wichtigen Inhalte der buddhistischen Lehre. Wie die vier edlen Wahrheiten und den edlen achtfachen Pfad. In den meisten Tempeln in Thailand finden an diesem Tag Prozessionen statt und viele religiöse Zeremonien werden vollzogen. Wichtig an diesem Feiertag ist auch das gemeinsame Sprechen der ersten Predigt. Es findet meist während einer Nachtwache statt.
"
Welttag gegen Menschenhandel;säkular;30.07.2018;;Mit dem Welttag gegen Menschenhandel wird am 30. Juli auf ein internationales Problem aufmerksam gemacht und dazu aufgerufen, gegen den Menschenhandel vorzugehen. Der Tag wurde 2013 durch die Vereinten Nationen ausgerufen und 2014 erstmals begangen, um auf die Situation der Opfer aufmerksam zu machen und sich für deren Rechte einzusetzen. Unter Menschenhandel wird der Kauf bzw. Verkauf von Menschen gegen deren Willen verstanden. Fast alle Länder der Welt sind hiervon direkt oder indirekt betroffen. (Weitere Informationen: https://www.uno-fluechtlingshilfe.de/news/internationaler-tag-gegen-menschenhandel-645.html)
Gedenktag Genozid an den Roma;säkular;02.08.2018;;"Der 2. August wurde im April 2015 vom Europäischen Parlament zum Tag des Gedenkens an den Völkermord an den europäischen Sinti und Roma erklärt. Dieser rassistisch motivierte Völkermord erfährt bis heute viel zu wenig Aufmerksamkeit. Hunderttausende Sinti und Roma sind im Deutschen Reich, den deutsch besetzten Ländern oder in mit dem Deutschen Reich kollaborierenden Staaten an ihren Wohnorten oder in Ghettos, Konzentrations- und Vernichtungslagern getötet worden. Dem Völkermord ging eine jahrzehntelange Politik der Stigmatisierung, Diskriminierung und Entrechtung voraus. Der 2. August wurde deshalb als Gedenktag gewählt, weil in der Nacht vom 2. auf den 3. August 1944 im Konzentrations- und Vernichtungslager Auschwitz-Birkenau die letzten dort noch lebenden Sinti und Roma in den Gaskammern ermordet wurden.
"
Internationaler Tag der indigen Bevölkerung;säkular;09.08.2018;;Der Tag der indigen Bevölkerunger der Welt findet jedes Jahr am 9. August statt. Er wird veranstaltet, um die Rechte der indigenen Bevölkerung zu fördern und zu schützen. Der Aktionstag würdigt auch die Leistungen und Beiträge, die indigene Bevölkerungsgruppen leisten, um internationale Fragen wie den Umweltschutz zu verbessern. Der Tag der indigenen Völker wurde zuerst von der Generalversammlung der Vereinten Nationen im Dezember 1994 ausgesprochen. Indigene Völker sind nach einer international gebräuchlichen Definition marginalisierte Bevölkerungsgruppen, die Nachkommen einer Bevölkerung vor Eroberung, Kolonisation oder der Gründung eines Staates oder einer Region sind, die sich selbst als eigenständiges Volk verstehen und ihre eigenen sozialen, wirtschaftlichen und kulturellen Institutionen beibehalten. Die Gesamtzahl der Angehörigen der indigenen Völker der Erde wird auf etwa 350 Millionen Menschen geschätzt. Ein zentrales Element der Unterscheidung indigener Gemeinschaften von der nicht-indigenen Mehrheitsgesellschaft ist oftmals die besonders enge Bindung indigener Kulturen an ihr jeweiliges Territorium sowie die besonders enge Beziehung zu diesem, die zumeist auch spirituelle Dimension besitzt. 
Internationaler Tag der Jugend;säkular;12.08.2018;;Jährlich findet der Internationale Tag der Jugend am 12. August statt. Er soll an die Bedeutung der Jugend als Lebensphase erinnern und wird weltweit begangen. Am Internationalen Tag der Jugend stehen die Jugendlichen im Vordergrund. Laut westeuropäischer Definition werden meist Menschen zwischen 13 und 21 Jahren als Jugendliche bezeichnet. Zur Feier des Tages finden oft Aktionen für Jugendliche statt, die teils auch selbst bei der Organisation helfen oder diese eigenständig umsetzen. 
Internationaler Linkshändertag;säkular;13.08.2018;;"Bereits seit dem Jahr 1976 wird der Internationale Linkshändertag jährlich begangen. Dean R. Campbell, der 1975 auch die Organisation ""Lefthanders international"" gründete, rief diesen Tag zum Linkshändertag aus. In den letzten Jahren hat der Linkshändertag zunehmend Berichte über Linkshändigkeit am 13. August in verschiedenen Medien angeregt. Linkshänder sind Personen, die bevorzugt die linke Hand benutzen, insbesondere bei nicht durch Erziehung geprägten Tätigkeiten mit nur einer Hand. Teilweise wurden und werden Linkshänder auf die rechte, kulturell oder historisch in vielen Ländern als besser bewertete Hand umerzogen. "
Mariä Himmelfahrt;christ.evan./kath.;15.08.2018;;"Dieses Fest, das von katholischen, orthodoxen und altorientalischen Christen seit dem 7. Jahrhundert gefeiert wird, feiert die Aufnahme
Marias in den Himmel, nach katholischem Verständnis mit Leib und Seele. Die Orthodoxe Kirche spricht vom seligen Entschlafen der
Gottesmutter."
Beginn Obon Japan;buddhistisch;15.08.2018;;"Das japanisch-buddhistische Obon-Fest ist ein Fest zu Ehren und zur Freude der Verstorbenen, die ein Mal im Jahr aus dem Jenseits zurückkehren, um die Lebenden zu besuchen. O-bon dauert mehrere Tage und ist eine der größten Feiern Japans.
In der Zeit ihrer Anwesenheit unter den Lebenden werden die Geister der Toten feierlich mit Obst, Gemüse und Reiswein verpflegt. Die Lebenden besuchen die Gräber ihrer Vorfahren, wo sie Papierlaternen anzünden und Weihrauch verbrennen. Es werden Gebetsstäbe entzündet, auf denen die guten Wünsche für die Verstorbenen stehen.
Überhaupt spielt Feuer beim Obon-Fest eine wichtige Rolle. Mit Feuern werden die Toten zu Beginn begrüßt und die Bon Feuer am Ende dieser Feiertage leuchten den Toten auf ihrem Weg zurück ins Jenseits.
"
Haci Bekta? Veli;alevitisch;16.08.2018;;Hadschi Bektasch Wali war ein muslimischer Mystiker, der in der zweiten Hälfte des 13. Jahrhunderts in Anatolien lebte und wirkte. Das Mausoleum von Haci Bektasch Veli befindet sich in der Provinz Nev?ehir in der Türkei und ist ein Wallfahrtsort für Aleviten. Am 16. August jedes Jahres pilgern Aleviten in den nach ihm benannten Ort Hac?bekta?.
Opferfest / ??? ?????? / Kurban Bayram?;islamisch;21.08.2018;24.08.2018;"Arabisch 'idu l-adha, türkisch Kurban Bayram?. Das Opferfest ist das Hauptfest für die Muslime und ist zugleich der Höhepunkt der
Pilgerfahrt (Hadsch) für die Pilgernden. Das Fest erinnert an die Bereitschaftsprüfung Ibrahims (= Abrahams), das ihm Liebste - seinen
Sohn Ismail - zu opfern. Gott jedoch schenkte ihm einen Widder, welchen er anstelle seines geliebten Sohnes opferte. So sollen alle
wohlhabenden Muslime nach dem Festgebet in der Moschee an einem dieser Festtage ein Tier opfern. Die soziale Verantwortung wohlhabender
Gläubiger erfordert das Teilen eines Drittels des Geopferten mit sozial und finanziell Bedürftigen, des zweiten Teils mit
Nachbarn und des letzten Teils mit der Familie."
Raksha Bandan;hinduistisch;26.08.2018;;"Raksha Bandan (schützende Verbindung) ist das Fest der geschwisterlichen Verbindung und Segnung mit Stoffarmbändern. Krishna verletzte
sich die Hand, und die Königin Draupadi verband ihn mit dem Stoff ihres Saris. Als ihre Widersacher sie später entblößen wollten,
beschützte Krishna sie und verlängerte ihren Sari ins Unendliche."
Mariä Himmelfahrt;christ.ortho./Altorient;28.08.2018;;"Dieses Fest, das von katholischen, orthodoxen und altorientalischen Christen seit dem 7. Jahrhundert gefeiert wird, feiert die Aufnahme
Marias in den Himmel, nach katholischem Verständnis mit Leib und Seele. Die Orthodoxe Kirche spricht vom seligen Entschlafen der
Gottesmutter. In den orthodoxen Kirchen findet vor dem Fest der Entschlafung Mariens das zweiwöchige Marienfasten statt, in dem auf Fleisch, Fisch, Milchprodukte und in der Regel auch auf Wein und Öl verzichtet werden soll."
Tag der Russlanddeutschen;säkular;28.08.2018;;Der Tag der Russlanddeutschen ist ein deutscher Gedenktag, der am 28. August 2018 stattfindet. Der Tag wird seit 1982 begangen und erinnert an den 28. August 1941. Nach Beginn des Zweiten Weltkrieges wurden die Russlanddeutschen entsprechend dem Erlass des Obersten Sowjets von eben diesem Tag innerhalb weniger Wochen aus den europäischen Teilen der Sowjetunion nach Osten zwangsdeportiert. Ziele waren vor allem Sibirien, Kasachstan und der Ural. Die Umsiedlung sollte eine Kollaboration der Russlanddeutschen mit Nazi-Deutschland verhindern. Der Tag der Russlanddeutschen soll an den mühevollen Weg erinnern, der hierzu begangen werden musste.
Guru Granth Sahib;sikh;29.08.2018;;"Guru Granth Sahib, auch bekannt als ""Adi Granth"", wird in der Religion der Sikhs als übergeordnete spirituelle Autorität und Führer angesehen. Guru Granth Sahib ist das einzige Schriftstück dieser Art, welches nicht nur die Arbeiten der eigenen religiösen Gründer beinhaltet, sondern auch Schriften anderer Glaubensrichtungen umfasst. Die Sikhs bringen dem Buch große Ehrerbietung entgegen und sehen es als lebendigen Guru an. Guru Granth Sahib ist eine Zusammenstellung von hingebungsvollen Hymnen und Poesie zur Anrufung Gottes. Der Text betont die Meditation über den wahren Guru (Gott) und legt moralische und ethische Regeln für die Entwicklung der Seele fest, für die spirituelle Erlösung und die Einheit mit Gott.  "
Antikriegstag;säkular;01.09.2018;;"Seit Ende des Zweiten Weltkrieges, der am 1. September 1939 mit dem Überfall der Hitler-Armeen auf Polen begann, wird dieses Datum in der Bundesrepublik als Antikriegstag begangen. Die Initiative ging vom Deutschen Gewerkschaftsbund aus, der erstmals am 01.09.1957 unter dem Motto ""Nie wieder Krieg"" zu gewerkschaftlichen Aktionen aufrief. Mit Kundgebungen und Mahnwachen wird an diesem Tag für Abrüstung und eine friedliche Welt demonstriert. (Weitere Informationen [engl.] http://www.un.org/en/events/peaceday/)"
Krishna Jamashtami;hinduistisch;03.09.2018;;Geburtstag Krishnas, des meistverehrten Hindu-Gottes.
Mariä Geburt;christ.evan./kath./ortho.;08.09.2018;;Fest der Geburt der Gottesmutter Maria
Weltalphabetisierungstag;säkular;08.09.2018;;Der Weltalphabetisierungstag wird alljährlich am 8. September begangen. Der Tag soll an die Problematik des Analphabetismus erinnern. Weltweit können rund 860 Millionen Erwachsene nicht richtig lesen und schreiben, zwei Drittel davon sind Frauen. In Deutschland gelten 7,5 Millionen Menschen als Analphabeten. Im Anschluss an die Weltkonferenz zur Beseitigung des Analphabetentums im September 1965 in Teheran wurde von der UNESCO der Weltalphabetisierungstag  ins Leben gerufen und am 8. September 1966 erstmals begangen. Neben zahlreichen Veranstaltungen, die weltweit auf die sozialen und wirtschaftlichen Folgen des Analphabetismus hinweisen, werden zum Weltalphabetisierungstag mehrere Bildungspreise von der UNESCO vergeben. (Weitere Informationen: https://www.unesco.de/bildung/welttage-bildung/alphabetisierungstag.html)
Neujahrsfest / ????? ????????? / Rosch ha-Schana;jüdisch;09.09.2018;22.09.2018;"Nach jüdischer Überlieferung wurde die Welt vor 5778 Jahren erschaffen. Der 1. Tischri (jüdischer Monatsname), der auf den Rosch Haschana (wörtlich: Kopf des Jahres) fällt, soll der sechste Tag der Schöpfung gewesen sein, also der Tag, an dem der erste Mensch erschaffen wurde. Daher gilt dieses Fest als Tag des Göttlichen Gerichtes, bei dem jeder einzelne Mensch von Gott für seine Taten des letzten Jahres beurteilt wird. Das Schofar, ein  Widderhorn, wird während des Gebetes mehrfach geblasen. Dessen Töne sollen die Beter
zur Umkehr bewegen. Darüber hinaus ist es üblich, z.B. einen Apfel in Honig zu tauchen, verbunden mit dem Wunsch, ein gutes und süßes neues Jahr zu erleben."
Fatma Ana Fasten;alevitisch;10.09.2018;;Tochter Mohammeds (Fsmi) und Frau von Ali. Sie begahr die beiden Söhne Hassan und Husain, die im Alevitintum und in der Schia eine bedeutende Rolle in der Nachfolge des Propheten spielen. 
Islamisches Neujahr / ??? ????? / Hicri Sene (Y?l Ba??);islamisch;11.09.2018;;"Beginn des Jahres 1439 islamischer Zeitrechnung. Die islamische Zeitrechnung beginnt 622 n.Chr. In diesem Jahr fand die
Auswanderung des Propheten nach Medina statt."
Koptisch-/ Äthiopisch-Orthodoxes Neujahr;christ.ortho.;11.09.2018;;-
Muharrem Fasten;alevitisch;11.09.2018;23.09.2018;Dem im Jahre 680 n.Chr. in Kerbala (heutiger Irak) ermordeten Imam Hüseyin wird in der zwölftägigen Trauerzeit die Verbundenheit gezeigt. Während dieser Zeit wird gefastet und Enthaltsamkeit geübt, um den Leidensweg Hüseyins nachzuempfinden. Zu Ehren weiterer Imame wird zwölf Tage gefastet.
Ganeshafest;hinduistisch;13.09.2018;;Fest zu Ehren des Elefantengottes Ganesha
Kreuzerhöhungsfest ;armenisch;14.09.2018;;Tag des Heiligen Kreuzes. Die Kreuzigung Jesus und damit auch das Kreuz wurden zu einem Symbol seiner bedingungslose Liebe.
